id;nome;cpf;matricula;nascimento;ano_letivo
1;though horn quaintly;25624;20075;2025-03-16;25056
2;mmm whoever over;25928;15891;2025-03-16;330
3;cutlet apud;14466;30123;2025-03-15;19609
4;boohoo continually gymnast;32183;23706;2025-03-15;15723
5;hypothesize midst;5492;25865;2025-03-16;10492
6;polyester before well-groomed;5166;18737;2025-03-16;5004
7;indolent until complicated;370;14540;2025-03-16;27088
8;in hm;6370;9315;2025-03-15;5589
9;ouch import fairly;23;30808;2025-03-16;28835
10;widow;6800;30403;2025-03-15;1963
